# total_ram_gb=31.2
t,ram_gb,vram_gb
0.0,0.95,0.25
1.0,0.94,0.25
2.1,0.94,0.25
3.1,0.95,0.25
4.1,0.95,0.25
5.2,0.95,0.25
6.2,0.95,0.25
7.2,0.95,0.25
8.2,0.95,0.25
9.3,0.95,0.25
10.3,1.28,0.25
11.3,1.47,0.25
12.4,1.58,0.25
13.4,1.63,0.25
14.4,1.81,0.5
15.5,1.84,0.5
16.5,1.86,0.5
17.5,1.9,0.5
18.6,1.95,0.5
19.6,2.06,0.5
20.6,2.07,0.5
21.6,2.17,0.5
22.7,2.23,0.5
23.7,2.26,0.5
24.7,2.3,0.5
25.8,2.36,0.5
26.8,2.44,0.5
27.8,2.54,0.5
28.9,2.61,0.5
29.9,2.71,0.5
30.9,2.79,0.5
31.9,2.82,0.5
33.0,2.92,0.5
34.0,3.01,0.5
35.0,3.04,0.5
36.1,3.12,0.5
37.1,3.21,0.5
38.1,3.29,0.5
39.2,3.37,0.5
40.2,3.41,0.5
41.2,3.48,0.5
42.3,3.56,0.5
43.3,3.65,0.5
44.3,3.61,0.5
45.4,3.69,0.5
46.4,3.78,0.5
47.4,3.86,0.5
48.5,3.95,0.5
49.5,4.03,0.5
50.5,4.11,0.5
51.6,4.18,0.5
52.6,4.25,0.5
53.6,4.32,0.5
54.7,4.41,0.5
55.7,4.5,0.5
56.7,4.58,0.5
57.8,4.67,0.5
58.8,4.71,0.5
59.8,4.78,0.5
60.9,4.83,0.5
61.9,4.88,0.5
62.9,4.93,0.5
64.0,4.73,0.5
65.0,4.63,0.5
66.0,4.62,0.5
67.1,4.59,0.5
68.1,3.88,0.5
69.1,3.88,0.5
70.2,3.88,0.5
71.2,3.88,0.5
72.2,3.88,0.5
73.3,3.88,0.5
74.3,3.88,0.5
75.3,3.88,0.5
76.4,3.88,0.5
77.4,3.88,0.5
78.4,3.88,0.5
79.5,3.88,0.5
80.5,3.88,0.5
81.5,3.88,0.5
82.6,3.88,0.5
83.6,3.88,0.5
84.6,3.88,0.5
85.7,3.89,0.5
86.7,3.9,0.5
87.7,3.9,0.5
88.8,3.9,0.5
89.8,3.9,0.5
90.8,3.9,0.5
91.8,3.9,0.5
92.9,3.9,0.5
93.9,3.9,0.5
94.9,3.9,0.5
96.0,3.9,0.5
97.0,3.9,0.5
98.0,3.9,0.5
99.1,3.9,0.5
100.1,3.9,0.5
101.1,3.9,0.5
102.2,3.9,0.5
103.2,3.9,0.5
104.2,3.9,0.5
105.3,3.9,0.5
106.3,3.9,0.5
107.3,3.9,0.5
108.4,3.9,0.5
109.4,3.9,0.5
110.4,3.9,0.5
111.5,3.9,0.5
112.5,3.9,0.5
113.5,3.9,0.5
114.6,3.9,0.5
115.6,3.9,0.5
116.6,3.9,0.5
117.7,3.9,0.5
118.7,3.9,0.5
119.7,3.9,0.5
120.8,3.91,0.5
121.8,3.91,0.5
122.8,3.91,0.5
123.9,3.93,0.5
124.9,3.93,0.5
125.9,3.93,0.5
127.0,3.72,0.5
128.0,3.78,0.5
129.0,4.22,0.5
130.1,4.28,0.5
131.1,4.37,0.5
132.1,4.52,0.75
133.2,4.59,0.75
134.2,2.02,0.5
135.2,2.35,0.5
136.3,2.46,0.5
137.3,2.52,0.5
138.4,2.68,0.75
139.4,2.73,0.75
140.4,2.74,0.75
141.5,2.79,0.75
142.5,2.79,0.75
143.5,2.79,0.75
144.6,2.79,0.75
145.6,2.79,0.75
146.6,2.79,0.75
147.6,2.8,0.75
148.7,2.83,0.75
149.7,2.85,0.75
150.7,2.87,0.75
151.8,2.95,0.75
152.8,3.07,0.75
153.8,2.94,0.75
154.8,2.87,0.75
155.9,2.87,0.75
156.9,3.36,0.75
157.9,3.64,0.75
159.0,3.68,0.99
160.0,3.74,1.22
161.0,3.76,1.22
162.1,3.77,1.22
163.1,3.77,1.22
164.1,3.77,1.22
165.2,3.77,1.22
166.2,3.77,1.22
167.2,3.77,1.22
168.3,3.77,1.22
169.3,3.77,1.22
170.3,3.77,1.22
171.3,3.77,1.22
172.4,3.77,1.22
173.4,3.77,1.22
174.4,3.77,1.22
175.5,3.77,1.22
176.5,3.77,1.22
177.5,3.99,1.67
178.6,4.4,1.67
179.6,4.68,1.67
180.6,4.9,1.67
181.7,5.23,1.67
182.7,5.67,1.67
183.7,6.05,1.67
184.8,5.78,2.33
185.8,5.78,2.33
186.8,5.78,2.33
187.8,5.78,2.33
188.9,5.78,2.33
189.9,5.78,2.33
190.9,5.78,2.33
192.0,5.78,2.33
193.0,5.79,2.33
194.0,6.14,2.33
195.1,4.85,2.08
196.1,5.06,2.08
197.1,5.17,2.08
198.2,5.26,2.14
199.2,5.71,2.33
200.2,5.79,2.33
201.2,6.11,2.33
202.3,5.89,1.3
203.3,5.89,1.3
204.3,5.7,1.3
205.4,5.65,1.3
206.4,5.88,2.49
207.4,6.07,2.49
208.5,6.15,2.49
209.5,6.18,2.49
210.5,5.8,2.49
211.5,5.81,2.49
212.6,5.81,2.49
213.6,5.81,2.49
214.6,5.86,5.68
215.7,5.82,5.68
216.7,5.83,5.68
217.7,5.86,5.68
218.8,5.86,5.83
219.8,9.08,6.36
220.8,5.83,9.33
221.8,5.83,9.33
222.9,5.85,9.71
223.9,5.84,9.96
224.9,5.84,9.96
226.0,5.84,9.96
227.0,5.84,10.02
228.0,5.84,10.02
229.1,5.84,10.02
230.1,5.84,10.02
231.1,5.84,10.02
232.2,5.84,10.02
233.2,5.84,10.02
234.2,5.84,10.02
235.3,5.84,10.02
236.3,5.84,9.14
237.3,5.83,10.52
238.3,5.84,10.52
239.4,5.87,10.52
240.4,5.87,10.62
241.4,5.87,10.52
242.5,5.87,10.52
243.5,5.87,10.62
244.5,5.9,9.71
245.6,5.9,9.71
246.6,5.9,9.71
247.6,5.9,9.71
248.7,5.9,9.71
249.7,5.9,9.71
250.7,5.9,9.71
251.7,5.9,9.71
252.8,5.9,9.71
253.8,5.9,9.71
254.8,5.9,9.71
255.9,5.9,9.71
256.9,5.9,9.71
