# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,15.91,6.28
1.0,3.17,0.22
2.1,3.31,0.22
3.1,3.4,0.24
4.1,3.02,0.33
5.2,3.02,0.33
6.2,3.02,0.33
7.2,3.02,0.33
8.2,3.06,0.33
9.3,2.06,0.22
10.3,2.4,0.22
11.3,2.53,0.22
12.3,2.73,0.33
13.4,2.78,0.33
14.4,2.78,0.33
15.4,2.78,0.33
16.4,2.81,0.33
17.5,3.52,0.33
18.5,3.12,0.62
19.5,4.11,1.39
20.5,4.31,1.39
21.6,4.59,1.39
22.6,5.1,1.39
23.6,5.46,1.39
24.7,5.5,1.77
25.7,5.5,1.77
26.7,5.5,1.77
27.7,5.5,1.77
28.8,5.5,1.77
29.8,5.5,1.77
30.8,5.5,1.77
31.9,5.5,1.77
32.9,5.5,1.77
33.9,5.5,1.8
34.9,5.5,1.83
36.0,5.5,1.83
37.0,5.5,1.83
38.0,5.5,1.83
39.1,5.5,1.83
40.1,6.02,1.83
41.1,6.56,1.83
42.1,5.52,0.49
43.2,5.52,0.49
44.2,5.52,0.49
45.2,5.52,0.49
46.2,5.52,0.49
47.3,5.52,0.49
48.3,5.52,0.49
49.3,5.52,0.49
50.3,5.52,0.49
