# total_ram_gb=15.9
t,ram_gb,vram_gb
0.0,0.83,0.31
1.1,0.83,0.33
2.2,0.84,0.63
3.3,0.84,0.63
4.4,0.84,0.68
5.5,0.84,0.84
6.6,0.84,0.84
7.7,0.88,0.84
8.8,1.33,0.84
10.0,1.37,0.75
11.1,1.37,0.75
12.1,1.37,0.75
13.2,1.37,0.75
14.3,1.37,0.75
15.4,1.37,0.75
16.5,1.37,0.75
17.6,1.37,0.75
18.7,1.37,0.75
19.8,1.42,0.75
20.9,1.58,0.87
22.0,1.61,0.87
23.1,1.64,0.87
24.2,1.65,0.87
25.3,1.65,0.87
26.4,1.79,0.87
27.5,1.93,0.87
28.6,2.05,0.87
29.7,2.19,0.87
30.8,1.98,0.87
31.9,2.11,0.87
33.1,2.15,0.87
34.2,2.29,0.87
35.3,2.43,0.87
36.4,2.1,0.87
37.5,2.22,0.87
38.6,2.14,0.87
39.7,1.94,0.87
40.9,2.08,0.87
42.0,2.21,0.87
43.1,2.32,0.87
44.2,2.46,0.87
45.3,2.59,0.87
46.4,2.67,0.87
47.5,2.74,0.87
48.6,2.76,0.87
49.8,2.65,0.87
50.9,2.78,0.87
52.0,2.92,0.87
53.1,3.06,0.87
54.2,3.2,0.87
55.3,3.34,0.87
56.4,3.48,0.87
57.6,3.62,0.87
58.7,3.75,0.87
59.8,3.88,0.87
60.9,3.01,0.87
62.0,2.59,0.87
63.1,2.67,0.87
64.2,2.8,0.87
65.3,2.94,0.87
66.4,3.08,0.87
67.6,2.52,0.87
68.7,2.65,0.87
69.8,2.79,0.87
70.9,2.93,0.87
72.0,3.05,0.87
73.1,3.15,0.87
74.3,2.78,0.87
75.4,2.69,0.87
76.4,2.69,0.87
77.6,2.69,0.87
78.7,2.69,0.87
79.8,1.66,0.87
80.9,1.67,0.87
82.0,1.69,0.87
83.1,1.79,0.87
84.2,1.81,0.87
85.3,1.81,0.87
86.4,1.66,0.87
87.5,1.67,0.87
88.6,1.69,0.87
89.7,1.7,0.87
90.8,1.74,0.87
91.9,1.73,0.87
93.0,1.75,0.87
94.1,1.72,0.87
95.3,1.83,0.87
96.4,1.78,0.87
97.5,1.76,0.87
98.6,1.74,0.87
99.7,1.66,0.87
100.8,1.69,0.87
101.9,1.69,0.87
103.0,1.69,0.87
104.1,1.71,0.87
105.2,2.0,0.87
106.3,2.14,0.87
107.4,2.2,0.87
108.5,2.32,0.98
109.6,2.39,0.98
110.7,2.4,0.98
111.8,2.42,0.98
112.9,2.44,0.98
114.0,2.44,0.98
115.1,2.44,0.98
116.2,2.44,0.98
117.3,2.44,0.98
118.4,2.44,0.98
119.5,2.44,0.98
120.6,2.45,0.98
121.7,2.49,0.98
122.8,2.49,0.98
123.9,2.56,0.98
125.0,2.67,0.98
126.1,2.61,0.98
127.2,2.49,0.98
128.3,3.31,0.98
129.5,3.0,1.4
130.6,3.08,1.42
131.7,3.11,1.42
132.7,3.1,1.42
133.8,3.1,1.42
134.9,3.17,1.42
136.0,3.1,1.42
137.1,3.1,1.42
138.2,3.11,1.42
139.3,3.11,1.42
140.4,3.09,1.42
141.5,3.11,1.42
142.6,3.14,1.42
143.7,3.16,1.42
144.8,3.12,1.42
145.9,3.46,2.0
147.2,4.69,2.0
148.3,5.66,2.05
149.4,4.52,2.11
150.5,4.54,2.55
151.6,4.55,2.55
152.7,4.55,2.55
153.8,4.56,2.55
154.8,4.56,2.55
155.9,4.56,2.55
157.0,4.57,2.55
158.2,4.57,2.55
159.2,4.57,2.55
160.3,4.58,2.55
161.4,4.58,2.55
162.5,4.59,2.55
163.6,4.58,2.55
164.7,2.63,0.93
165.8,3.05,0.93
166.9,3.13,0.93
168.0,3.27,1.05
169.1,3.33,1.05
170.2,3.74,1.05
171.3,3.76,1.05
172.4,3.76,1.05
173.5,3.76,1.05
174.6,3.79,1.05
175.7,4.61,1.05
176.9,4.42,1.34
177.9,4.43,1.34
179.0,4.44,1.34
180.1,4.5,1.34
181.2,4.43,1.34
182.3,4.46,1.34
183.4,4.52,1.34
184.5,4.44,1.34
185.6,4.44,1.34
186.7,4.47,1.34
187.8,4.44,1.34
188.9,4.44,1.34
190.0,4.45,1.34
191.1,4.48,1.34
192.2,4.59,1.38
193.3,4.58,1.38
194.4,4.58,1.38
195.5,4.31,2.28
196.6,5.03,2.56
197.7,4.81,2.56
198.8,4.84,2.56
199.9,4.91,2.56
201.0,4.91,2.56
202.1,4.95,4.53
203.3,5.84,4.13
204.4,6.93,5.19
205.5,8.02,6.31
206.6,9.13,7.41
207.7,10.08,8.31
208.8,10.88,9.13
209.9,4.85,9.63
211.0,4.88,9.69
212.1,4.88,9.69
213.2,4.88,9.72
214.3,4.88,9.72
215.4,4.88,9.72
216.5,4.88,9.75
217.6,4.88,9.75
218.7,4.88,9.75
219.8,4.88,9.75
220.8,4.88,9.75
221.9,4.88,9.75
223.0,4.88,9.82
224.1,4.88,9.82
225.2,4.91,10.53
226.4,4.91,10.53
227.5,4.95,10.53
228.6,4.95,10.53
229.7,4.97,10.53
230.9,4.97,10.53
231.9,5.01,9.75
233.1,5.06,9.78
234.2,5.06,9.78
235.3,5.06,9.78
236.3,5.06,9.78
237.5,5.06,9.78
238.5,5.06,9.78
239.6,5.06,9.78
240.7,5.06,9.78
