# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,10.56,9.73
1.2,10.33,9.53
2.4,10.35,9.53
3.6,10.36,9.48
4.8,10.35,9.48
6.0,10.27,9.44
7.3,10.28,9.4
8.5,10.33,9.47
9.7,10.37,9.53
10.9,10.36,9.52
12.1,10.37,9.55
13.3,10.38,9.59
14.5,10.4,9.61
15.7,10.4,9.61
16.9,10.42,9.67
18.1,10.43,9.71
19.3,10.42,0.62
21.5,7.93,0.61
22.7,7.99,0.61
23.8,8.22,0.61
25.0,8.28,0.6
26.3,8.29,0.61
27.5,8.3,0.6
28.6,8.3,0.6
29.8,8.32,0.6
31.0,8.43,0.75
32.2,8.46,0.75
33.4,8.48,0.75
34.6,8.49,0.75
35.7,8.5,0.75
37.0,8.5,0.75
38.1,8.52,0.75
39.3,8.56,0.75
40.5,8.49,0.75
41.7,8.48,0.75
42.9,8.49,0.75
44.1,8.5,0.75
45.3,8.21,0.75
46.5,8.23,0.75
47.7,8.24,0.75
48.9,8.27,0.76
50.0,8.29,0.75
51.2,8.31,0.75
52.4,8.32,0.75
53.7,8.34,0.75
54.9,8.34,0.75
56.1,8.34,0.75
57.3,8.34,0.75
58.4,8.34,0.75
59.6,8.34,0.75
60.8,8.34,0.75
62.0,8.33,0.75
63.2,8.34,0.75
64.4,8.34,0.75
65.6,8.34,0.75
66.8,8.33,0.75
68.0,8.34,0.75
69.2,8.34,0.75
70.4,8.37,0.69
71.6,8.38,0.7
72.8,8.39,0.69
74.0,8.78,0.7
75.2,9.06,0.69
76.3,9.13,0.69
77.6,9.19,0.69
78.8,8.89,0.69
80.0,9.16,0.69
81.2,9.12,0.69
82.4,9.01,0.69
83.6,8.41,0.92
84.8,8.65,0.99
86.0,8.95,1.12
87.2,9.04,1.15
88.4,9.56,1.65
89.6,9.56,1.65
90.8,9.84,1.65
92.0,10.25,1.66
93.2,10.59,1.66
94.4,10.81,1.66
95.6,10.76,1.65
96.8,11.2,1.66
98.0,11.36,1.65
99.3,11.45,1.65
100.5,11.48,1.64
101.7,11.17,1.64
102.9,11.55,1.64
104.1,11.43,1.64
105.3,11.36,1.08
106.5,10.74,1.17
107.7,10.77,1.27
108.9,10.87,2.11
110.1,10.88,2.12
111.3,10.89,2.12
112.5,10.89,2.12
113.7,10.9,2.12
114.9,10.91,2.12
116.2,10.92,2.12
117.4,10.92,2.12
118.6,10.92,2.12
119.8,10.93,2.12
121.0,10.93,2.12
122.2,10.93,2.12
123.4,10.94,2.12
124.6,10.93,2.12
125.8,10.94,2.12
127.0,10.94,2.12
128.2,11.36,2.11
129.5,11.25,2.12
130.7,11.54,2.12
131.9,11.82,2.12
133.1,11.16,2.14
134.4,11.27,2.13
135.6,11.62,2.13
136.8,11.77,2.13
138.0,11.8,2.13
139.1,11.83,2.12
140.3,11.82,2.12
141.5,11.85,2.12
142.7,11.67,2.13
143.9,10.91,2.12
145.2,10.93,2.13
146.4,10.93,2.13
147.6,10.92,2.13
148.8,10.92,2.12
150.0,10.92,2.12
151.2,10.92,2.12
152.3,10.92,2.12
153.5,10.92,2.12
154.7,10.92,2.11
155.9,10.91,2.11
157.1,10.92,2.11
158.3,10.92,2.11
159.5,10.92,2.11
160.7,10.92,2.11
161.9,10.92,2.11
163.1,10.92,2.11
164.3,10.92,2.11
165.5,10.92,2.11
166.7,10.92,2.11
167.8,10.92,2.11
169.0,10.92,2.11
170.2,10.92,2.11
171.4,10.92,2.11
172.6,10.92,2.11
173.8,10.92,2.11
175.0,10.91,2.11
176.2,10.91,2.11
177.4,10.91,2.11
178.6,10.91,2.11
179.8,10.91,2.11
181.0,10.91,2.11
182.2,10.91,2.11
183.3,10.91,2.11
184.5,10.91,2.11
185.7,10.91,2.11
186.9,10.91,2.11
188.1,10.91,2.11
189.3,10.91,2.11
190.5,10.91,2.11
191.7,10.91,2.11
192.9,10.91,2.11
194.1,10.91,2.11
195.2,10.91,2.11
196.4,10.91,2.11
197.6,10.91,2.11
198.8,10.91,2.11
200.0,10.91,2.11
201.2,10.91,2.11
202.4,10.91,2.11
203.6,10.91,2.11
204.8,10.91,2.11
206.0,10.97,2.18
207.2,10.98,2.15
