# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.89,0.2
1.1,0.89,0.22
2.3,0.89,0.27
3.4,0.89,0.35
4.6,0.89,0.35
5.7,0.89,0.43
6.8,0.89,0.46
8.0,0.89,0.46
9.1,0.92,0.46
10.2,1.26,0.46
11.4,1.32,0.46
12.6,1.35,0.46
13.7,1.35,0.46
14.8,1.35,0.46
16.4,1.35,0.46
17.6,1.35,0.46
18.7,1.35,0.46
19.9,1.35,0.46
21.0,1.35,0.46
22.1,1.35,0.46
23.3,1.35,0.46
24.4,1.35,0.46
25.6,1.35,0.46
26.7,1.35,0.46
27.8,1.35,0.46
29.0,1.35,0.46
30.1,1.35,0.46
31.2,1.39,0.46
32.4,1.51,0.56
33.5,1.57,0.56
34.7,1.59,0.56
35.8,1.6,0.56
36.9,1.63,0.56
38.1,1.68,0.56
39.2,1.82,0.56
40.4,1.76,0.56
41.5,1.91,0.56
42.7,1.92,0.56
43.9,1.96,0.56
45.0,1.96,0.56
46.2,1.95,0.56
47.3,2.1,0.56
48.5,2.25,0.56
49.7,2.4,0.56
50.8,2.23,0.56
52.0,2.38,0.56
53.2,2.41,0.56
54.3,2.55,0.56
55.5,2.61,0.56
56.6,2.6,0.56
57.8,2.75,0.56
59.0,2.87,0.56
60.1,3.02,0.56
61.3,3.16,0.56
62.4,3.25,0.56
63.6,3.39,0.56
64.8,3.54,0.56
65.9,3.69,0.56
67.1,2.97,0.56
68.2,2.71,0.56
69.4,2.86,0.56
70.6,3.01,0.56
71.7,3.16,0.56
72.9,3.3,0.56
74.0,3.45,0.56
75.2,3.5,0.56
76.4,3.47,0.56
77.5,3.62,0.56
78.7,3.74,0.56
79.9,3.57,0.56
81.1,3.66,0.56
82.2,3.62,0.56
83.4,3.78,0.56
84.5,3.74,0.56
85.7,2.57,0.56
86.9,1.66,0.56
88.0,1.66,0.56
89.1,1.69,0.56
90.3,1.71,0.56
91.5,1.7,0.56
92.6,1.78,0.56
93.8,1.8,0.56
94.9,1.68,0.56
96.1,1.68,0.56
97.3,1.79,0.56
98.4,1.71,0.56
99.6,1.72,0.56
100.8,1.84,0.56
101.9,1.77,0.56
103.1,1.74,0.56
104.3,1.76,0.56
105.4,1.76,0.56
106.6,1.67,0.56
107.8,1.67,0.56
108.9,1.72,0.56
110.1,1.7,0.56
111.2,1.77,0.56
112.4,2.02,0.56
113.5,2.16,0.56
114.7,2.19,0.56
115.8,2.24,0.56
117.0,2.36,0.67
118.1,2.42,0.67
119.3,2.43,0.67
120.4,2.44,0.67
121.6,2.46,0.67
122.7,2.46,0.67
123.9,2.48,0.67
125.0,2.48,0.67
126.1,2.48,0.67
127.3,2.48,0.67
128.4,2.48,0.67
129.5,2.48,0.67
130.7,2.48,0.67
131.8,2.49,0.67
133.0,2.49,0.67
134.1,2.49,0.67
135.2,2.49,0.67
136.4,2.49,0.67
137.5,2.49,0.67
138.6,2.49,0.67
139.8,2.49,0.67
140.9,2.5,0.67
142.1,2.52,0.67
143.2,2.53,0.67
144.4,2.53,0.67
145.5,2.61,0.67
146.7,2.75,0.67
147.8,2.63,0.67
149.0,2.95,0.67
150.2,3.31,0.67
151.4,2.56,0.9
152.5,3.21,1.16
153.7,3.93,1.68
154.8,4.71,1.68
155.9,5.26,1.71
157.1,5.66,1.71
158.3,4.95,1.17
159.4,5.04,1.96
160.6,5.04,1.99
161.7,5.05,1.99
162.8,5.05,1.99
164.0,5.05,1.99
165.1,5.06,1.99
166.3,5.06,1.99
167.4,5.06,1.99
168.6,5.07,1.99
169.7,5.07,1.99
170.8,5.07,1.99
172.0,5.08,1.99
173.1,5.08,1.99
174.2,5.08,1.99
175.4,5.09,1.99
176.5,5.09,1.99
177.7,4.1,1.89
178.8,4.34,1.89
179.9,4.4,1.89
181.0,4.45,1.89
182.2,4.49,1.9
183.4,5.18,1.99
184.5,5.04,2.0
185.6,5.43,1.26
186.8,5.39,1.26
187.9,5.15,1.26
189.0,5.2,1.26
190.2,5.22,1.26
191.3,5.13,1.26
192.5,5.13,1.26
193.6,5.14,1.26
194.7,5.39,2.42
195.9,5.69,2.42
197.1,6.14,2.42
198.2,5.65,2.42
199.3,5.47,2.42
200.5,5.49,2.42
201.6,5.54,2.42
202.8,5.57,2.42
203.9,5.59,2.42
205.0,5.6,2.85
206.2,5.67,4.42
207.3,6.9,4.32
208.5,8.87,6.26
209.6,10.69,8.04
210.7,10.21,9.04
211.9,5.72,9.82
213.1,5.78,9.82
214.2,5.78,9.82
215.4,5.78,9.86
216.5,5.78,9.86
217.6,5.78,9.92
218.8,5.78,9.92
219.9,5.78,9.92
221.1,5.78,9.92
222.2,5.78,9.92
223.3,5.78,9.92
224.5,5.78,9.92
225.6,5.78,9.92
226.8,5.78,9.92
227.9,5.78,9.92
229.0,5.78,9.92
230.1,5.78,9.92
231.3,5.78,9.92
232.4,5.78,9.92
233.6,5.78,9.92
234.7,5.78,9.92
235.9,5.78,9.92
237.0,5.78,9.92
238.1,5.78,9.92
239.3,5.39,10.42
240.4,5.39,10.42
241.5,5.39,10.42
242.7,5.46,10.42
243.8,5.43,10.42
245.0,5.43,10.42
246.1,5.52,10.54
247.2,5.45,10.42
248.4,5.45,10.42
249.5,5.45,10.51
250.6,5.39,9.64
251.8,5.36,9.67
252.9,5.34,9.67
254.1,5.34,9.67
255.2,5.34,9.67
256.4,5.34,9.67
257.5,5.34,9.67
258.6,5.34,9.67
259.8,5.34,9.67
