# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,5.07,1.1
1.3,2.68,1.11
2.4,2.74,1.06
3.6,2.78,1.27
4.7,2.82,1.11
5.8,2.5,1.43
7.0,2.5,1.43
8.1,2.5,1.44
9.2,2.55,1.44
10.4,2.59,1.27
11.5,1.69,1.02
12.7,2.11,1.02
13.8,2.15,1.02
14.9,2.21,1.02
16.1,2.33,1.27
17.2,2.39,1.27
18.3,2.41,1.27
19.5,2.44,1.27
20.6,2.44,1.27
21.8,2.44,1.27
22.9,2.44,1.27
24.0,2.44,1.27
25.2,2.44,1.27
26.3,2.47,1.27
27.5,2.98,1.27
28.6,3.29,1.27
29.8,2.62,1.59
30.9,3.68,2.31
32.1,4.68,2.31
33.2,5.26,2.34
34.4,5.69,2.34
35.6,5.1,1.81
36.7,5.08,2.94
37.9,5.09,2.97
39.0,5.09,2.97
40.1,5.1,3.0
41.3,5.11,3.0
42.4,5.12,3.0
43.6,5.16,3.0
44.7,5.52,3.0
45.8,5.39,3.0
47.0,5.9,1.5
48.1,5.32,1.5
49.3,5.32,1.5
50.4,5.32,1.5
51.5,5.32,1.5
52.7,5.32,1.5
53.8,5.32,1.5
55.0,5.32,1.61
